model,split,threshold,precision,recall,f1,pred_positive_rate,pred_positive_count
lgbm_pr_regularized_seed42,val,0.95,0.7416107382550335,0.2268993839835729,0.3474842767295597,0.011399280850738276,298
lgbm_pr_regularized_seed42,test,0.5,0.27572898799313894,0.660164271047228,0.38898971566848156,0.08920511055007269,2332
lgbm_pr_regularized_seed42,test,0.6,0.3486997635933806,0.6057494866529775,0.4426106526631658,0.06472343355519854,1692
lgbm_pr_regularized_seed42,test,0.65,0.3921293042867182,0.5728952772073922,0.4655819774718398,0.05443347869329049,1423
lgbm_pr_regularized_seed42,test,0.7,0.443307757885763,0.5338809034907598,0.48439683278993945,0.04487032361716778,1173
lgbm_pr_regularized_seed42,test,0.75,0.496900826446281,0.4938398357289528,0.49536560247167866,0.03702853645474715,968
lgbm_pr_regularized_seed42,test,0.8,0.5642023346303502,0.446611909650924,0.498567335243553,0.029492770254762452,771
lgbm_pr_regularized_seed42,test,0.85,0.6170212765957447,0.3870636550308008,0.4757097791798107,0.023372351006043915,611
lgbm_pr_regularized_seed42,test,0.9,0.6811279826464208,0.32238193018480493,0.43763066202090595,0.017634457960370286,461
lgbm_pr_regularized_seed42,test,0.95,0.7936507936507936,0.2053388090349076,0.3262642740619902,0.009639660316731696,252
lgbm_pr_regularized_seed2026,val,0.5,0.26375786163522014,0.688911704312115,0.381466742467311,0.09731466605462474,2544
lgbm_pr_regularized_seed2026,val,0.6,0.3246753246753247,0.6160164271047228,0.42523033309709424,0.07069084232269911,1848
lgbm_pr_regularized_seed2026,val,0.65,0.3602080624187256,0.5687885010266941,0.4410828025477707,0.05883253002830694,1538
lgbm_pr_regularized_seed2026,val,0.7,0.42105263157894735,0.5420944558521561,0.473967684021544,0.04796878586183154,1254
lgbm_pr_regularized_seed2026,val,0.75,0.4700772200772201,0.5,0.4845771144278607,0.03962971463545253,1036
lgbm_pr_regularized_seed2026,val,0.8,0.5276442307692307,0.45071868583162217,0.48615725359911405,0.0318261800933364,832
lgbm_pr_regularized_seed2026,val,0.85,0.5853293413173652,0.40143737166324434,0.4762484774665043,0.025552750363399893,668
lgbm_pr_regularized_seed2026,val,0.9,0.6573705179282868,0.33880903490759756,0.44715447154471544,0.01920281539285441,502
