model,split,target_fpr,actual_fpr,recall_at_fpr,threshold,precision_at_fpr,pred_positive_rate,pred_positive_count
lgbm_pr_regularized_seed42,test,0.01,0.009853782581055308,0.40349075975359344,0.8385130087544448,0.6131045241809673,0.02451992961517864,641
lgbm_pr_regularized_seed42,test,0.02,0.019866497139224414,0.49691991786447637,0.7461246936153527,0.491869918699187,0.037640578379619004,984
lgbm_pr_regularized_seed42,test,0.03,0.029998410680228862,0.553388090349076,0.6771135979520925,0.41653786707882534,0.04949889067401117,1294
lgbm_pr_regularized_seed42,test,0.05,0.04990464081373172,0.6201232032854209,0.5732612125432517,0.3247311827956989,0.071149873766353,1860
lgbm_pr_regularized_seed2026,val,0.005,0.004926891290527654,0.31211498973305957,0.9238611315714895,0.7102803738317757,0.01637212149032209,428
lgbm_pr_regularized_seed2026,val,0.01,0.009972981563890655,0.3932238193018481,0.8633123785971508,0.6041009463722398,0.024252161273047204,634
lgbm_pr_regularized_seed2026,val,0.02,0.01982676414494596,0.4804928131416838,0.7668236719290954,0.483971044467425,0.03699028383444266,967
lgbm_pr_regularized_seed2026,val,0.03,0.029481881754609026,0.5451745379876797,0.6970538544383007,0.4171249018067557,0.04869558564761686,1273
lgbm_pr_regularized_seed2026,val,0.05,0.049825174825174824,0.6170431211498973,0.5986360938107524,0.323989218328841,0.07095861066483054,1855
lgbm_pr_regularized_seed2026,test,0.005,0.004966624284806103,0.30390143737166325,0.9086716201263467,0.7030878859857482,0.016104353148190653,421
lgbm_pr_regularized_seed2026,test,0.01,0.009933248569612207,0.3942505133470226,0.8498847358762446,0.6056782334384858,0.024252161273047204,634
lgbm_pr_regularized_seed2026,test,0.02,0.01982676414494596,0.502053388090349,0.7448651332630091,0.4949392712550607,0.03779358886083697,988
lgbm_pr_regularized_seed2026,test,0.03,0.029918944691671966,0.5585215605749486,0.6781351513608086,0.41942945258288356,0.04961364853492464,1297
lgbm_pr_regularized_seed2026,test,0.05,0.04998410680228862,0.6232032854209446,0.5824323661020976,0.3254691689008043,0.07134113686787545,1865
lgbm_pr_regularized_seed777,val,0.005,0.004966624284806103,0.29055441478439425,0.9335356276840712,0.6936274509803921,0.01560706908423227,408
lgbm_pr_regularized_seed777,val,0.01,0.009972981563890655,0.38295687885010266,0.880957492199793,0.5977564102564102,0.023869635070002296,624
